mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0	2.0	0	0	4/4	4	1	1/2	1/2	1		-1	65	F4	4	0
1	1	2	2	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		-1	65	F4	4	1
1	1	3	3	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		-1	65	F4	4	2
1	1	4	4	3.0	1	1	4/4	4	1	3/4	1/2	3/2		-1	65	F4	4	3
1	1	7	7	1.0	7/4	7/4	4/4	4	1	1/4	1/4	1		4	64	E4	4	4
2	2	8	8	1.0	0	0	4/4	4	1	1/4	1/4	1		2	62	D4	4	7
2	2	9	9	1.0	1/4	1/4	4/4	4	1	1/4	1/4	1		0	60	C4	4	8
2	2	10	10	1.0	1/2	1/2	4/4	4	1	1/4	1/4	1		-2	58	Bb3	3	9
2	2	11	11	1.0	3/4	3/4	4/4	4	1	1/4	1/4	1		3	57	A3	3	10
2	2	12	12	4.0	1	1	4/4	4	1	1	1	1		1	55	G3	3	11
2	2	12	12	2.0	1	1	4/4	1	1	1/2	1/2	1		2	62	D4	4	5
2	2	14	14	2.0	3/2	3/2	4/4	1	1	1/2	1/2	1		4	64	E4	4	6
3	3	16	16	8.0	0	0	4/4	4	1	2	2	1		-1	53	F3	3	25
3	3	16	16	4.0	0	0	4/4	1	1	1	1	1		-1	65	F4	4	12
3	3	16	16	2.0	0	0	4/4	3	1	1/2	1/2	1		3	69	A4	4	20
3	3	16	16	2.0	0	0	4/4	2	1	1/2	1/2	1		0	72	C5	5	15
3	3	18	18	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		3	69	A4	4	21
3	3	18	18	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		0	72	C5	5	16
3	3	19	19	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		3	69	A4	4	22
3	3	19	19	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		0	72	C5	5	17
3	3	20	20	2.0	1	1	4/4	1	1	1/2	1/2	1		-1	65	F4	4	13
3	3	20	20	3.0	1	1	4/4	3	1	3/4	1/2	3/2		3	69	A4	4	23
3	3	20	20	3.0	1	1	4/4	2	1	3/4	1/2	3/2		0	72	C5	5	18
3	3	22	22	2.0	3/2	3/2	4/4	1	1	1/2	1/2	1		-1	65	F4	4	14
3	3	23	23	1.0	7/4	7/4	4/4	3	1	1/4	1/4	1		1	67	G4	4	24
3	3	23	23	1.0	7/4	7/4	4/4	2	1	1/4	1/4	1		-2	70	Bb4	4	19
4	4	24	24	1.0	0	0	4/4	1	1	1/4	1/4	1		-1	65	F4	4	26
4	4	24	24	1.0	0	0	4/4	3	1	1/4	1/4	1		-1	65	F4	4	35
4	4	24	24	1.0	0	0	4/4	2	1	1/4	1/4	1		3	69	A4	4	30
4	4	25	25	1.0	1/4	1/4	4/4	3	1	1/4	1/4	1		4	64	E4	4	36
4	4	25	25	1.0	1/4	1/4	4/4	1	1	1/4	1/4	1		1	67	G4	4	27
4	4	25	25	1.0	1/4	1/4	4/4	2	1	1/4	1/4	1		1	67	G4	4	31
4	4	26	26	1.0	1/2	1/2	4/4	3	1	1/4	1/4	1		2	62	D4	4	37
4	4	26	26	1.0	1/2	1/2	4/4	2	1	1/4	1/4	1		-1	65	F4	4	32
4	4	26	26	4.0	1/2	1/2	4/4	1	1	1	1	1		3	69	A4	4	28
4	4	27	27	1.0	3/4	3/4	4/4	3	1	1/4	1/4	1		0	60	C4	4	38
4	4	27	27	1.0	3/4	3/4	4/4	2	1	1/4	1/4	1		4	64	E4	4	33
4	4	28	28	2.0	1	1	4/4	4	1	1/2	1/2	1		2	50	D3	3	40
4	4	28	28	4.0	1	1	4/4	3	1	1	1	1		-2	58	Bb3	3	39
